"DateYYMMDD","TimeHHMM","CO_CerroNavia","CO_ElBosque","CO_Independencia","CO_LasCondes","CO_OHiggins","CO_PuenteAlto","CO_Talagante","Hum_CerroNavia","Hum_ElBosque","Hum_Independencia","Hum_LasCondes","Hum_OHiggins","Hum_PuenteAlto","Hum_Talagante","SO2_ElBosque","SO2_PuenteAlto","SO2_Talagante","Temp_CerroNavia","Temp_ElBosque","Temp_Independencia","Temp_LasCondes","Temp_OHiggins","Temp_PuenteAlto","Temp_Talagante","WindSpeed_CerroNavia","WindSpeed_ElBosque","WindSpeed_Independencia","WindSpeed_LasCondes","WindSpeed_OHiggins","WindSpeed_PuenteAlto","WindSpeed_Talagante"
180204,0,0.45,0.36,0.16,0.48,0.31,0.24,0.11,70,71.105,67.8333,74.3333,67.855,72.3552,90.6887,1,3.4,1,17.975,18.2304,20.8917,18.6667,18.3387,18.4887,13.7361,0.695075,0.724622,1.05062,0.502248,0.768871,0.649004,0.156492
180204,100,0.39,0.36,0.1,0.49,0.3,0.13,0.14,72.5,73.1035,68.75,80.3333,69.5203,76.3538,92.7705,1,3.88,1,17.2917,17.6551,20.4634,17.6167,17.8718,17.3051,13.0859,0.587315,0.420794,0.68743,0.502248,0.434533,0.961155,0.103467
180204,1000,0.32,0.36,0.1,0.46,0.3,0.25,0.21,46.3333,50.587,49,50.75,45.337,54.9203,59.7537,1,3.24,1,25.7583,26.0768,27.0917,24.7167,26.4351,24.6935,24.2268,1.22722,1.51195,1.10684,2.86616,0.974314,2.10974,1.38447
180204,1100,0.34,0.32,0.1,0.4,0.34,0.15,0.21,43.0833,48.5862,44.75,44.75,41.5029,53.2529,53.6696,1,3.4,1,27.5,27.6515,28.7083,26.2583,28.3932,25.8848,27.6182,1.71235,1.83802,1.29341,2.86616,1.21802,2.43481,1.28061
180204,1200,0.45,0.34,0.1,0.34,0.3,0.14,0.21,39.5,46.2522,42.0022,41.0833,40.4189,50.6689,50.7522,1,3.32,1,29.375,28.4844,30.2511,27.5,29.2511,26.8261,28.8928,2.31023,2.17317,1.51098,3.61116,2.11306,3.21293,1.82646
180204,1300,0.6,0.35,0.1,0.3,0.32,0.14,0.21,36.5,43.8348,39.9167,37.6667,38.6682,48.2515,49.2515,1,3.32,1,30.1583,29.284,31.0417,28.8583,29.9674,27.7174,29.6174,2.65897,3.40879,2.00438,3.92414,2.60485,3.61917,2.092
180204,1400,0.63,0.36,0.1,0.27,0.31,0.14,0.21,35.0833,42.5007,38.334,37.9167,37.5007,46.4174,48.084,1,3.32,1,30.7273,29.8587,31.3254,29.125,30.4421,28.2754,29.9671,2.80838,3.40879,2.15192,4.15199,2.77228,3.64713,2.26973
180204,1500,0.65,0.34,0.1,0.27,0.3,0.14,0.21,34.9167,43,38.5,37.25,38.25,46.0001,48.3333,1,3.32,1,30.5417,29.6583,31.0833,29.2917,30.0417,28.625,29.0667,2.70654,3.40879,2.18433,4.15199,2.85422,3.93708,2.63743
180204,1600,0.64,0.35,0.1,0.27,0.3,0.14,0.21,35.0833,43.0138,39.5833,38.0001,38.8471,47.0972,50.6806,1,3.32,1,30.8417,29.3152,31.0083,28.7583,29.8569,28.2236,27.207,2.60866,3.40879,2.22618,3.70509,3.42637,4.60168,3.03329
180204,1700,0.64,0.34,0.1,0.27,0.3,0.14,0.21,37.3333,44.5964,42.5963,38.9167,41.0131,48.3465,55.4299,1,3.32,1,29.575,28.1065,29.4731,28.3167,28.4232,27.1315,25.3233,2.8631,3.51683,2.74037,3.54015,3.3352,4.97776,2.42064
180204,1800,0.6,0.32,0.1,0.27,0.3,0.15,0.21,41.1667,48.8456,45.5,42.2625,44.3456,51.6791,64.2749,1,3.32,1,27.0417,25.7812,27.675,26.4645,26.1812,25.1229,21.9395,3.01192,3.40879,2.36247,2.82042,3.10673,4.55129,2.35244
180204,1900,0.56,0.33,0.1,0.27,0.3,0.15,0.21,47.595,54.1783,49.4167,47.7617,48.6783,57.595,74.6067,1,3.32,1,23.7725,22.9891,25.4417,24.0058,23.7308,22.4975,18.7226,2.24422,2.37636,1.98009,1.68563,2.3278,2.56539,2.1067
180204,200,0.4,0.43,0.1,0.47,0.3,0.15,0.2,74.5833,75.1855,70.6858,80.9167,71.1021,78.019,94.0194,1,3.54,1,16.7333,17.313,19.9547,17.2333,17.3547,16.8547,12.7024,0.393765,0.298761,0.456567,0.876925,0.240535,0.206371,0.0564144
180204,2000,0.45,0.38,0.1,0.27,0.3,0.15,0.21,55.5943,58.4276,55.25,52.9277,55.3442,61.0943,84.1052,1,3.32,1,21.0721,21.2887,23.6,22.3971,21.5221,20.6554,16.2555,2.39175,1.94034,1.82756,1.68563,2.45382,2.49021,1.60288
180204,2100,0.43,0.36,0.12,0.28,0.39,0.15,0.21,62.3436,61.9268,59.75,57.2603,59.6768,64.6038,89.9373,1,3.24,1,19.4551,20.0718,22.3091,21.0634,20.1134,19.4218,14.8859,2.18329,1.82798,1.58077,1.3714,1.52555,2.20715,1.09339
