FECHA (YYMMDD);HORA (HHMM);;
090221;0700;-39,2;
090221;0800;-39,2;
090221;0900;-39,1833;
090221;1000;-39,2;
090221;1100;-39,2;
090221;1200;-39,2166;
090221;1300;-39,2166;
090221;1400;-39,2333;
090221;1500;-39,3;
090221;1600;-39,2916;
090221;1700;-39,275;
090221;1800;-39,2249;
090221;1900;-39,2249;
090221;2000;-39,2083;
090221;2100;-39,2083;
090221;2200;-39,2;
090221;2300;-39,2;
090222;0000;-39,2;
090222;0100;-39,2;
090222;0200;-39,2333;
090222;0300;-39,1916;
090222;0400;-39,1916;
090222;0500;-39,2;
090222;0600;-39,1916;
090222;0700;-39,1916;
090222;0800;-39,2166;
090222;0900;-39,2;
090222;1000;-39,2;
090222;1100;-39,2;
090222;1200;-39,2;
090222;1300;-39,2333;
090222;1400;-39,2499;
090222;1500;-39,2583;
090222;1600;-39,2666;
090222;1700;-39,2166;
090222;1800;-39,2499;
090222;1900;-39,2499;
090222;2000;-39,2333;
090222;2100;-39,2916;
090222;2200;-39,2416;
090222;2300;-39,2249;
090223;0000;-39,2083;
090223;0100;-39,2083;
090223;0200;-39,2;
090223;0300;-39,1749;
090223;0400;-39,2;
090223;0500;-39,2;
090223;0600;-39,2;
090223;0700;-39,2;
090223;0800;-39,2;
090223;0900;;
090223;1000;;
090223;1100;-39,2;
090223;1200;-39,2499;
090223;1300;-39,2416;
090223;1400;-39,2416;
090223;1500;-39,275;
090223;1600;-39,2666;
090223;1700;-39,2916;
090223;1800;-39,2833;
090223;1900;-39,2499;
090223;2000;-39,2166;
090223;2100;-39,2;
090223;2200;-39,2;
090223;2300;-39,2;
090224;0000;-39,2083;
090224;0100;-39,1916;
090224;0200;-39,2;
090224;0300;-39,2;
090224;0400;-39,2;
090224;0500;-39,2;
090224;0600;-39,2;
090224;0700;;
090224;0800;;
090224;0900;-39,2166;
090224;1000;-39,2;
090224;1100;-39,2;
090224;1200;-39,2;
090224;1300;-39,2166;
090224;1400;-39,2499;
090224;1500;-39,2833;
090224;1600;-39,275;
090224;1700;-39,275;
090224;1800;-39,2916;
090224;1900;-39,2916;
090224;2000;-39,2416;
090224;2100;-39,2;
090224;2200;-39,2;
090224;2300;-39,2;
090225;0000;-39,2;
090225;0100;-39,2;
090225;0200;;
090225;0300;-39,2;
090225;0400;-39,2;
090225;0500;-39,2;
090225;0600;-39,2;
090225;0700;-39,2;
090225;0800;;
090225;0900;;
090225;1000;;
090225;1100;-39,1916;
090225;1200;-39,2083;
090225;1300;-39,2249;
090225;1400;-39,2416;
090225;1500;-39,2583;
090225;1600;-39,2583;
090225;1700;-39,2833;
090225;1800;-39,2833;
090225;1900;-39,2666;
090225;2000;-39,2916;
090225;2100;-39,4;
090225;2200;-39,2166;
090225;2300;-39,2;
090226;0000;-39,2;
090226;0100;-39,2;
090226;0200;-39,2;
090226;0300;-39,2;
090226;0400;;
090226;0500;;
090226;0600;;
090226;0700;;
090226;0800;;
090226;0900;-39,2083;
090226;1000;-39,2166;
090226;1100;-39,2;
090226;1200;-39,2;
090226;1300;-39,2166;
090226;1400;-39,2666;
090226;1500;-39,2333;
090226;1600;-39,2666;
090226;1700;-39,275;
090226;1800;-39,3;
090226;1900;-39,2333;
090226;2000;-39,2416;
090226;2100;-39,2083;
090226;2200;-39,2;
090226;2300;-39,2;
090227;0000;-39,2;
090227;0100;-39,2;
090227;0200;;
090227;0300;;
090227;0400;;
090227;0500;;
090227;0600;;
090227;0700;;
090227;0800;;
090227;0900;;
090227;1000;-39,2;
090227;1100;-39,2;
090227;1200;-39,2;
090227;1300;-39,2;
090227;1400;-39,2;
090227;1500;;
090227;1600;-39,2583;
090227;1700;-39,2499;
090227;1800;-39,2;
090227;1900;-39,2;
090227;2000;-39,2;
090227;2100;-39,2;
090227;2200;-39,2;
090227;2300;;
090228;0000;;
090228;0100;;
090228;0200;;
090228;0300;;
090228;0400;;
090228;0500;;
090228;0600;;
090228;0700;;
090228;0800;;
090228;0900;;
090228;1000;;
090228;1100;;
090228;1200;;
090228;1300;;
090228;1400;;
090228;1500;;
090228;1600;;
090228;1700;;
090228;1800;;
090228;1900;;
090228;2000;;
090228;2100;;
090228;2200;;
090228;2300;;
090301;0000;;
090301;0100;;
090301;0200;;
090301;0300;;
090301;0400;;
090301;0500;;
090301;0600;;
090301;0700;;
090301;0800;-39,2;
090301;0900;-39,2;
090301;1000;-39,2;
090301;1100;-39,2;
090301;1200;-39,2;
090301;1300;;
090301;1400;;
090301;1500;;
090301;1600;;
090301;1700;;
090301;1800;;
090301;1900;;
090301;2000;;
090301;2100;;
090301;2200;;
090301;2300;;
090302;0000;;
090302;0100;;
090302;0200;;
090302;0300;;
090302;0400;;
090302;0500;;
090302;0600;;
090302;0700;;
090302;0800;-39,2;
090302;0900;-39,2;
090302;1000;-39,2;
090302;1100;-39,2;
090302;1200;-39,2;
090302;1300;;
090302;1400;;
090302;1500;;
090302;1600;;
090302;1700;;
090302;1800;;
090302;1900;;
090302;2000;;
090302;2100;;
090302;2200;;
090302;2300;;
090303;0000;;
090303;0100;;
090303;0200;;
090303;0300;;
090303;0400;;
090303;0500;;
090303;0600;;
090303;0700;;
090303;0800;;
090303;0900;;
090303;1000;;
090303;1100;;
090303;1200;;
090303;1300;;
090303;1400;;
090303;1500;;
090303;1600;;
090303;1700;;
090303;1800;;
090303;1900;;
090303;2000;;
090303;2100;;
090303;2200;;
090303;2300;;
090304;0000;;
090304;0100;;
090304;0200;;
090304;0300;;
090304;0400;;
090304;0500;;
090304;0600;;
090304;0700;;
090304;0800;;
090304;0900;;
090304;1000;;
090304;1100;;
090304;1200;;
090304;1300;;
090304;1400;;
090304;1500;-39,2;
090304;1600;-39,2;
090304;1700;-39,2;
090304;1800;-39,2;
090304;1900;-39,2;
090304;2000;;
090304;2100;;
090304;2200;;
090304;2300;;
090305;0000;;
090305;0100;;
090305;0200;;
090305;0300;;
090305;0400;;
090305;0500;;
090305;0600;;
090305;0700;;
090305;0800;;
090305;0900;;
090305;1000;;
090305;1100;;
090305;1200;;
090305;1300;;
090305;1400;;
090305;1500;;
090305;1600;;
090305;1700;;
090305;1800;-39,2;
090305;1900;-39,2;
090305;2000;-39,2083;
090305;2100;-39,2249;
090305;2200;-39,2916;
090305;2300;-39,3;
090306;0000;-39,2916;
090306;0100;-39,2;
090306;0200;-39,2;
090306;0300;-39,2;
090306;0400;-39,2;
090306;0500;-39,2;
090306;0600;;
090306;0700;;
090306;0800;;
090306;0900;;
090306;1000;;
090306;1100;;
090306;1200;;
090306;1300;;
090306;1400;;
090306;1500;-39,3;
090306;1600;-39,3833;
090306;1700;-39,4;
090306;1800;-39,4;
090306;1900;-39,4;
090306;2000;-39,4083;
090306;2100;-39,5;
090306;2200;-39,5;
090306;2300;-39,4916;
090307;0000;-39,4083;
090307;0100;-39,5;
090307;0200;-39,5;
090307;0300;-39,5;
090307;0400;-39,5;
090307;0500;-39,475;
090307;0600;-39,4249;
090307;0700;-39,4;
090307;0800;-39,4;
090307;0900;-39,475;
090307;1000;-39,475;
090307;1100;-39,5;
090307;1200;-39,5;
090307;1300;-39,5;
090307;1400;-39,5;
090307;1500;;
090307;1600;;
090307;1700;-39,6;
090307;1800;-39,5916;
090307;1900;-39,5;
090307;2000;-39,5083;
090307;2100;-39,5583;
090307;2200;-39,5;
090307;2300;-39,5;
090308;0000;-39,5;
090308;0100;-39,5;
090308;0200;-39,5;
090308;0300;;
090308;0400;;
090308;0500;;
090308;0600;;
090308;0700;;
090308;0800;;
090308;0900;;
090308;1000;-39,3;
090308;1100;-39,0833;
090308;1200;-39,1749;
090308;1300;-39,2;
090308;1400;-39,2;
090308;1500;-39,2;
090308;1600;-39,2;
090308;1700;;
090308;1800;;
090308;1900;;
090308;2000;;
090308;2100;;
090308;2200;-39,1;
090308;2300;-39,1;
090309;0000;-39,1;
090309;0100;-39,1;
090309;0200;-39,1;
090309;0300;;
090309;0400;;
090309;0500;;
090309;0600;;
090309;0700;;
090309;0800;;
090309;0900;;
090309;1000;;
090309;1100;;
090309;1200;-39,1333;
090309;1300;-39,1666;
090309;1400;-39,2;
090309;1500;-39,2;
090309;1600;-39,2;
090309;1700;-39,2;
090309;1800;;
090309;1900;;
090309;2000;-39,1;
090309;2100;-39,1;
090309;2200;-39,1;
090309;2300;-39,1;
090310;0000;-39,1;
090310;0100;;
090310;0200;;
090310;0300;;
090310;0400;;
090310;0500;;
090310;0600;;
090310;0700;;
090310;0800;;
090310;0900;;
090310;1000;;
090310;1100;;
090310;1200;;
090310;1300;;
090310;1400;;
090310;1500;-39,1909;
090310;1600;-39,2;
090310;1700;-39,2;
090310;1800;-39,2;
090310;1900;-39,2;
090310;2000;-39,1299;
090310;2100;-39,1;
090310;2200;-39,1;
090310;2300;-39,1;
090311;0000;-39,1;
090311;0100;;
090311;0200;;
090311;0300;;
090311;0400;;
090311;0500;;
090311;0600;;
090311;0700;;
090311;0800;;
090311;0900;;
090311;1000;;
090311;1100;;
090311;1200;;
090311;1300;-39,2;
090311;1400;-39,2;
090311;1500;-39,2;
090311;1600;-39,2;
090311;1700;;
090311;1800;;
090311;1900;;
090311;2000;;
090311;2100;-39,1;
090311;2200;-39,1;
090311;2300;-39,1;
090312;0000;-39,1;
090312;0100;-39,1;
090312;0200;;
090312;0300;;
090312;0400;;
090312;0500;;
090312;0600;;
090312;0700;;
090312;0800;;
090312;0900;;
090312;1000;-39,2;
090312;1100;-39,2;
090312;1200;-39,2;
090312;1300;-39,2;
090312;1400;-39,2;
090312;1500;;
090312;1600;;
090312;1700;;
090312;1800;;
090312;1900;;
090312;2000;;
090312;2100;;
090312;2200;-39,1166;
090312;2300;-39,1;
090313;0000;-39,1;
090313;0100;-39,1;
090313;0200;-39,1;
090313;0300;;
090313;0400;;
090313;0500;;
090313;0600;;
090313;0700;;
090313;0800;;
090313;0900;;
