FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090226;1200;;;5,15833;
090226;1300;;;5,05;
090226;1400;;;4,99165;
090226;1500;;;4,89999;
090226;1600;;;4,90833;
090226;1700;;;4,96666;
090226;1800;;;4,925;
090226;1900;;;5;
090226;2000;;;5,14165;
090226;2100;;;5,27499;
090226;2200;;;5,425;
090226;2300;;;5,39165;
090227;0000;;;5,27499;
090227;0100;;;5,25832;
090227;0200;;;5,21666;
090227;0300;;;5,27776;
090227;0400;;;5,38888;
090227;0500;;;5,52499;
090227;0600;;;6,075;
090227;0700;;;6,07499;
090227;0800;;;5,56667;
090227;0900;;;5,54166;
090227;1000;;;5,45833;
090227;1100;;;5,26665;
090227;1200;;;5,14165;
090227;1300;;;5,1;
090227;1400;;;5,04166;
090227;1500;;;5,01665;
090227;1600;;;5;
090227;1700;;;5,02499;
090227;1800;;;5,08333;
090227;1900;;;5,10833;
090227;2000;;;5,12498;
090227;2100;;;5,24165;
090227;2200;;;5,26665;
090227;2300;;;5,28333;
090228;0000;;;5,2;
090228;0100;;;5,3;
090228;0200;;;5,29166;
090228;0300;;;5,28888;
090228;0400;;;5,3111;
090228;0500;;;5,39999;
090228;0600;;;5,58333;
090228;0700;;;5,74165;
090228;0800;;;5,74165;
090228;0900;;;5,86665;
090228;1000;;;6,45833;
090228;1100;;;6,24998;
090228;1200;;;6,35833;
090228;1300;;;6,21666;
090228;1400;;;5,88332;
090228;1500;;;5,69166;
090228;1600;;;5,6;
090228;1700;;;5,58333;
090228;1800;;;5,6;
090228;1900;;;5,64999;
090228;2000;;;6,02499;
090228;2100;;;6,29166;
090228;2200;;;7,49165;
090228;2300;;;8,0833;
090301;0000;0,799996;;;
090301;0100;1;;;
090301;0200;0,599998;;;
090301;0300;0,2;;;
090301;0400;0,0999998;;;
090301;0500;0,0999998;;;
090301;0600;0,4;;;
090301;0700;0,3;;;
090301;0800;0,3;;;
090301;0900;0,2;;;
090301;1000;0,0999998;;;
090301;1100;0,0999998;;;
090301;1200;0,0999998;;;
090301;1300;0,0999998;;;
090301;1400;0,0999998;;;
090301;1500;;;5,24998;
090301;1600;;;5,2;
090301;1700;;;5,2;
090301;1800;;;5,21666;
090301;1900;;;5,24998;
090301;2000;;;5,39165;
090301;2100;0,0999998;;;
090301;2200;0,0999998;;;
090301;2300;0,0999998;;;
090302;0000;0,0999998;;;
090302;0100;0,0999998;;;
090302;0200;0,0999998;;;
090302;0300;0,0999998;;;
090302;0400;0,0999998;;;
090302;0500;0,0999998;;;
090302;0600;0,599998;;;
090302;0700;0,7;;;
090302;0800;0,4;;;
090302;0900;0,2;;;
090302;1000;0,0999998;;;
090302;1100;0,0999998;;;
090302;1200;0,0999998;;;
090302;1300;;;5,30833;
090302;1400;;;5,2;
090302;1500;;;5,2;
090302;1600;;;5,2;
090302;1700;;;5,2;
090302;1800;;;5,23333;
090302;1900;;;5,36665;
090302;2000;0,0999998;;;
090302;2100;0,0999998;;;
090302;2200;0,0999998;;;
090302;2300;0,0999998;;;
090303;0000;0,0999998;;;
090303;0100;0,0999998;;;
090303;0200;0,0999998;;;
090303;0300;0,0999998;;;
090303;0400;0,0999998;;;
090303;0500;0,0999998;;;
090303;0600;0,0999998;;;
090303;0700;0,0999998;;;
090303;0800;0,0999998;;;
090303;0900;0,0999998;;;
090303;1000;0,0999998;;;
090303;1100;0,0999998;;;
090303;1200;0,0999998;;;
090303;1300;0,0999998;;;
090303;1400;0,0999998;;;
090303;1500;0,0999998;;;
090303;1600;0,0999998;;;
090303;1700;0,0999998;;;
090303;1800;0,0999998;;;
090303;1900;0,0999998;;;
090303;2000;0,0999998;;;
090303;2100;0,0999998;;;
090303;2200;0,0999998;;;
090303;2300;0,0999998;;;
090304;0000;0,0999998;;;
090304;0100;0,0999998;;;
090304;0200;0,0999998;;;
090304;0300;0,0999998;;;
090304;0400;0,0999998;;;
090304;0500;0,0999998;;;
090304;0600;0,0999998;;;
090304;0700;0,0999998;;;
090304;0800;0,0999998;;;
090304;0900;0,0999998;;;
090304;1000;0,0999998;;;
090304;1100;0,0999998;;;
090304;1200;0,0999998;;;
090304;1300;0,0999998;;;
090304;1400;0,0999998;;;
090304;1500;0,0999998;;;
090304;1600;0,0999998;;;
090304;1700;0,0999998;;;
090304;1800;0,0999998;;;
090304;1900;0,0999998;;;
090304;2000;0,0999998;;;
090304;2100;0,3;;;
090304;2200;0,0999998;;;
090304;2300;0,0999998;;;
090305;0000;0,0999998;;;
090305;0100;0,0999998;;;
090305;0200;0,0999998;;;
090305;0300;0,0999998;;;
090305;0400;0,0999998;;;
090305;0500;0,0999998;;;
090305;0600;0,3;;;
090305;0700;0,7;;;
090305;0800;0,0999998;;;
090305;0900;0,0999998;;;
090305;1000;0,0999998;;;
090305;1100;0,0999998;;;
090305;1200;0,0999998;;;
090305;1300;0,0999998;;;
090305;1400;0,0999998;;;
090305;1500;0,0999998;;;
090305;1600;0,0999998;;;
090305;1700;0,0999998;;;
090305;1800;0,0999998;;;
090305;1900;0,0999998;;;
090305;2000;0,0999998;;;
090305;2100;0,0999998;;;
090305;2200;0,0999998;;;
090305;2300;0,0999998;;;
090306;0000;0,0999998;;;
090306;0100;0,0999998;;;
090306;0200;0,0999998;;;
090306;0300;0,0999998;;;
090306;0400;0,0999998;;;
090306;0500;0,0999998;;;
090306;0600;0,2;;;
090306;0700;0,4;;;
090306;0800;0,0999998;;;
090306;0900;0,0999998;;;
090306;1000;0,0999998;;;
090306;1100;0,0999998;;;
090306;1200;0,0999998;;;
090306;1300;0,0999998;;;
090306;1400;0,0999998;;;
090306;1500;0,0999998;;;
090306;1600;0,0999998;;;
090306;1700;0,0999998;;;
090306;1800;0,0999998;;;
090306;1900;0,0999998;;;
090306;2000;0,0999998;;;
090306;2100;0,2;;;
090306;2200;0,0999998;;;
090306;2300;0,0999998;;;
090307;0000;0,0999998;;;
090307;0100;0,0999998;;;
090307;0200;0,0999998;;;
090307;0300;0,0999998;;;
090307;0400;0,0999998;;;
090307;0500;0,0999998;;;
090307;0600;0,0999998;;;
090307;0700;0,0999998;;;
090307;0800;0,0999998;;;
090307;0900;0,0999998;;;
090307;1000;0,0999998;;;
090307;1100;0,0999998;;;
090307;1200;0,0999998;;;
090307;1300;0,0999998;;;
090307;1400;0,0999998;;;
090307;1500;0,0999998;;;
090307;1600;0,0999998;;;
090307;1700;0,0999998;;;
090307;1800;0,0999998;;;
090307;1900;0,0999998;;;
090307;2000;0,0999998;;;
090307;2100;0,4;;;
090307;2200;0,799996;;;
090307;2300;0,5;;;
090308;0000;0,3;;;
090308;0100;0,0999998;;;
090308;0200;0,0999998;;;
090308;0300;0,0999998;;;
090308;0400;0,0999998;;;
