FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090217;2300;1,5;;;
090218;0000;1,5;;;
090218;0100;1,5;;;
090218;0200;1,6;;;
090218;0300;1,6;;;
090218;0400;1,6;;;
090218;0500;1,6;;;
090218;0600;1,6;;;
090218;0700;1,6;;;
090218;0800;1,6;;;
090218;0900;1,6;;;
090218;1000;1,6;;;
090218;1100;1,5;;;
090218;1200;1,5;;;
090218;1300;1,4;;;
090218;1400;1,4;;;
090218;1500;1,4;;;
090218;1600;1,4;;;
090218;1700;1,4;;;
090218;1800;1,4;;;
090218;1900;1,4;;;
090218;2000;1,5;;;
090218;2100;1,6;;;
090218;2200;1,6;;;
090218;2300;1,6;;;
090219;0000;1,6;;;
090219;0100;1,7;;;
090219;0200;1,7;;;
090219;0300;1,7;;;
090219;0400;1,7;;;
090219;0500;1,7;;;
090219;0600;1,7;;;
090219;0700;1,7;;;
090219;0800;1,7;;;
090219;0900;1,7;;;
090219;1000;1,7;;;
090219;1100;1,6;;;
090219;1200;1,6;;;
090219;1300;1,5;;;
090219;1400;1,5;;;
090219;1500;1,4;;;
090219;1600;1,4;;;
090219;1700;1,4;;;
090219;1800;1,4;;;
090219;1900;1,4;;;
090219;2000;1,5;;;
090219;2100;1,5;;;
090219;2200;1,6;;;
090219;2300;1,7;;;
090220;0000;1,7;;;
090220;0100;1,7;;;
090220;0200;1,7;;;
090220;0300;1,7;;;
090220;0400;1,7;;;
090220;0500;1,8;;;
090220;0600;1,9;;;
090220;0700;1,9;;;
090220;0800;1,8;;;
090220;0900;1,8;;;
090220;1000;1,7;;;
090220;1100;1,7;;;
090220;1200;1,6;;;
090220;1300;1,6;;;
090220;1400;1,6;;;
090220;1500;1,5;;;
090220;1600;1,5;;;
090220;1700;1,5;;;
090220;1800;1,5;;;
090220;1900;1,5;;;
090220;2000;1,5;;;
090220;2100;1,6;;;
090220;2200;1,6;;;
090220;2300;1,7;;;
090221;0000;1,7;;;
090221;0100;1,7;;;
090221;0200;1,7;;;
090221;0300;1,7;;;
090221;0400;1,7;;;
090221;0500;1,7;;;
090221;0600;1,7;;;
090221;0700;1,8;;;
090221;0800;1,7;;;
090221;0900;1,7;;;
090221;1000;1,7;;;
090221;1100;1,7;;;
090221;1200;1,6;;;
090221;1300;1,6;;;
090221;1400;1,5;;;
090221;1500;1,5;;;
090221;1600;1,5;;;
090221;1700;1,5;;;
090221;1800;1,5;;;
090221;1900;1,6;;;
090221;2000;1,6;;;
090221;2100;1,7;;;
090221;2200;1,8;;;
090221;2300;1,8;;;
090222;0000;1,8;;;
090222;0100;2;;;
090222;0200;1,9;;;
090222;0300;1,9;;;
090222;0400;1,9;;;
090222;0500;1,9;;;
090222;0600;1,9;;;
090222;0700;2;;;
090222;0800;2,1;;;
090222;0900;2;;;
090222;1000;1,9;;;
090222;1100;1,8;;;
090222;1200;1,8;;;
090222;1300;1,7;;;
090222;1400;1,7;;;
090222;1500;1,6;;;
090222;1600;1,6;;;
090222;1700;1,6;;;
090222;1800;1,6;;;
090222;1900;1,6;;;
090222;2000;1,9;;;
090222;2100;1,9;;;
090222;2200;1,9;;;
090222;2300;1,9;;;
090223;0000;2;;;
090223;0100;2;;;
090223;0200;2,1;;;
090223;0300;2,1;;;
090223;0400;2,1;;;
090223;0500;2,1;;;
090223;0600;2,1;;;
090223;0700;2,1;;;
090223;0800;2,2;;;
090223;0900;2,1;;;
090223;1000;2;;;
090223;1100;1,9;;;
090223;1200;1,8;;;
090223;1300;1,8;;;
090223;1400;1,7;;;
090223;1500;1,7;;;
090223;1600;1,6;;;
090223;1700;1,6;;;
090223;1800;1,6;;;
090223;1900;1,7;;;
090223;2000;1,7;;;
090223;2100;1,8;;;
090223;2200;1,8;;;
090223;2300;1,9;;;
090224;0000;1,9;;;
090224;0100;1,9;;;
090224;0200;1,9;;;
090224;0300;1,9;;;
090224;0400;1,9;;;
090224;0500;1,9;;;
090224;0600;1,9;;;
090224;0700;1,9;;;
090224;0800;1,9;;;
090224;0900;1,9;;;
090224;1000;1,9;;;
090224;1100;1,9;;;
090224;1200;1,8;;;
090224;1300;1,8;;;
090224;1400;1,7;;;
090224;1500;1,7;;;
090224;1600;1,7;;;
090224;1700;1,7;;;
090224;1800;1,7;;;
090224;1900;1,7;;;
090224;2000;1,8;;;
090224;2100;1,8;;;
090224;2200;1,9;;;
090224;2300;1,9;;;
090225;0000;1,9;;;
090225;0100;1,9;;;
090225;0200;1,9;;;
090225;0300;1,9;;;
090225;0400;1,9;;;
090225;0500;1,9;;;
090225;0600;1,9;;;
090225;0700;1,9;;;
090225;0800;1,9;;;
090225;0900;2;;;
090225;1000;2;;;
090225;1100;1,9;;;
090225;1200;1,9;;;
090225;1300;1,9;;;
090225;1400;1,8;;;
090225;1500;1,8;;;
090225;1600;1,7;;;
090225;1700;1,7;;;
090225;1800;1,7;;;
090225;1900;1,9;;;
090225;2000;2,1;;;
090225;2100;1,9;;;
090225;2200;2;;;
090225;2300;2;;;
090226;0000;2;;;
090226;0100;2;;;
090226;0200;2;;;
090226;0300;2;;;
090226;0400;1,9;;;
090226;0500;2;;;
090226;0600;2;;;
090226;0700;2;;;
090226;0800;2,1;;;
090226;0900;2;;;
090226;1000;2;;;
090226;1100;2;;;
090226;1200;1,9;;;
090226;1300;1,9;;;
090226;1400;1,8;;;
090226;1500;1,8;;;
090226;1600;1,8;;;
090226;1700;1,8;;;
090226;1800;1,8;;;
090226;1900;1,8;;;
090226;2000;1,9;;;
090226;2100;1,9;;;
090226;2200;2;;;
090226;2300;2;;;
090227;0000;2;;;
090227;0100;2;;;
090227;0200;2;;;
090227;0300;2;;;
090227;0400;2;;;
090227;0500;2;;;
090227;0600;2;;;
090227;0700;2;;;
090227;0800;2;;;
090227;0900;2;;;
090227;1000;2;;;
090227;1100;2;;;
090227;1200;1,9;;;
090227;1300;1,9;;;
090227;1400;1,8;;;
090227;1500;1,8;;;
090227;1600;1,8;;;
090227;1700;1,8;;;
090227;1800;1,8;;;
090227;1900;1,9;;;
090227;2000;1,9;;;
090227;2100;2;;;
090227;2200;2;;;
090227;2300;2;;;
090228;0000;2,1;;;
090228;0100;2,1;;;
090228;0200;2,1;;;
090228;0300;2,1;;;
090228;0400;2,1;;;
090228;0500;2,1;;;
090228;0600;2,1;;;
090228;0700;2,1;;;
090228;0800;2,1;;;
090228;0900;2,1;;;
090228;1000;2,1;;;
090228;1100;2,1;;;
090228;1200;2,1;;;
090228;1300;2;;;
090228;1400;2;;;
090228;1500;2;;;
090228;1600;2;;;
090228;1700;2;;;
090228;1800;2;;;
090228;1900;2;;;
090228;2000;2;;;
090228;2100;2,1;;;
090228;2200;2,1;;;
090228;2300;2,1;;;
090301;0000;2,2;;;
090301;0100;2,1;;;
090301;0200;2,2;;;
090301;0300;2,3;;;
090301;0400;2,3;;;
090301;0500;2,3;;;
090301;0600;2,3;;;
090301;0700;2,3;;;
090301;0800;2,3;;;
090301;0900;2,2;;;
090301;1000;2,2;;;
090301;1100;2,1;;;
090301;1200;2,1;;;
090301;1300;2;;;
090301;1400;2;;;
090301;1500;2;;;
090301;1600;1,9;;;
090301;1700;1,9;;;
090301;1800;1,9;;;
090301;1900;2;;;
090301;2000;2;;;
090301;2100;2,1;;;
090301;2200;2,1;;;
090301;2300;2,1;;;
090302;0000;2,1;;;
090302;0100;2,2;;;
090302;0200;2,1;;;
090302;0300;2,2;;;
090302;0400;2,2;;;
090302;0500;2,2;;;
090302;0600;2,2;;;
090302;0700;2,3;;;
090302;0800;2,2;;;
090302;0900;2,2;;;
090302;1000;2,2;;;
090302;1100;2,1;;;
090302;1200;2,1;;;
090302;1300;2;;;
090302;1400;2;;;
090302;1500;2;;;
090302;1600;2;;;
090302;1700;1,9;;;
090302;1800;2;;;
090302;1900;2;;;
090302;2000;2;;;
090302;2100;2,1;;;
090302;2200;2,1;;;
090302;2300;2,2;;;
090303;0000;2,2;;;
090303;0100;2,2;;;
090303;0200;2,2;;;
090303;0300;2,2;;;
090303;0400;2,2;;;
090303;0500;2,2;;;
090303;0600;2,2;;;
090303;0700;2,2;;;
090303;0800;2,2;;;
090303;0900;2,2;;;
090303;1000;2,2;;;
090303;1100;2,2;;;
090303;1200;2,2;;;
090303;1300;2,2;;;
090303;1400;2,2;;;
090303;1500;2,1;;;
090303;1600;2,1;;;
090303;1700;2,1;;;
090303;1800;2,1;;;
090303;1900;2,2;;;
090303;2000;2,2;;;
090303;2100;2,2;;;
090303;2200;2,2;;;
090303;2300;2,2;;;
090304;0000;2,2;;;
090304;0100;2,2;;;
090304;0200;2,2;;;
090304;0300;2,2;;;
090304;0400;2,2;;;
090304;0500;2,2;;;
090304;0600;2,3;;;
090304;0700;2,3;;;
090304;0800;2,3;;;
090304;0900;2,2;;;
090304;1000;2,2;;;
090304;1100;2,2;;;
090304;1200;2,1;;;
090304;1300;2,1;;;
090304;1400;2,1;;;
090304;1500;2,1;;;
090304;1600;2,1;;;
090304;1700;2,1;;;
090304;1800;2;;;
090304;1900;2;;;
090304;2000;2,1;;;
090304;2100;2,1;;;
090304;2200;2,2;;;
090304;2300;2,2;;;
090305;0000;2,2;;;
090305;0100;2,3;;;
090305;0200;2,3;;;
090305;0300;2,3;;;
090305;0400;2,3;;;
090305;0500;2,4;;;
090305;0600;2,6;;;
090305;0700;2,7;;;
090305;0800;2,4;;;
090305;0900;2,5;;;
090305;1000;2,4;;;
090305;1100;2,3;;;
090305;1200;2,2;;;
090305;1300;2,2;;;
090305;1400;2,2;;;
090305;1500;2,2;;;
090305;1600;2,1;;;
090305;1700;2,1;;;
090305;1800;2,1;;;
090305;1900;2,2;;;
090305;2000;2,5;;;
090305;2100;2,6;;;
090305;2200;2,9;;;
090305;2300;2,6;;;
090306;0000;2,5;;;
090306;0100;2,6;;;
090306;0200;2,6;;;
090306;0300;2,5;;;
090306;0400;2,5;;;
090306;0500;2,6;;;
090306;0600;2,6;;;
090306;0700;2,7;;;
090306;0800;2,7;;;
090306;0900;2,5;;;
090306;1000;2,4;;;
090306;1100;2,3;;;
090306;1200;2,3;;;
090306;1300;2,2;;;
090306;1400;2,2;;;
090306;1500;1,9;;;
090306;1600;1,7;;;
090306;1700;1,5;;;
090306;1800;1,4;;;
090306;1900;1,3;;;
090306;2000;1,3;;;
090306;2100;1,3;;;
090306;2200;1,3;;;
090306;2300;1,4;;;
090307;0000;1,6;;;
090307;0100;1,8;;;
090307;0200;1,7;;;
090307;0300;1,8;;;
090307;0400;1,7;;;
090307;0500;1,7;;;
090307;0600;1,8;;;
090307;0700;1,7;;;
090307;0800;1,7;;;
090307;0900;1,6;;;
090307;1000;1,5;;;
090307;1100;1,3;;;
090307;1200;0,9;;;
090307;1300;0,7;;;
090307;1400;0,5;;;
090307;1500;0,4;;;
090307;1600;0,3;;;
090307;1700;0,2;;;
090307;1800;0,0999998;;;
090307;1900;0,2;;;
090307;2000;0,3;;;
090307;2100;0,4;;;
090307;2200;0,4;;;
090307;2300;0,599998;;;
090308;0000;0,7;;;
090308;0100;1;;;
090308;0200;1,1;;;
090308;0300;1,2;;;
090308;0400;1,4;;;
090308;0500;1,6;;;
090308;0600;1,7;;;
090308;0700;1,7;;;
090308;0800;1,7;;;
090308;0900;1,7;;;
090308;1000;1,7;;;
090308;1100;1,8;;;
090308;1200;1,7;;;
090308;1300;1,9;;;
090308;1400;1,9;;;
090308;1500;2;;;
090308;1600;2;;;
090308;1700;2;;;
090308;1800;2;;;
090308;1900;2;;;
090308;2000;2,1;;;
090308;2100;2,1;;;
090308;2200;2,2;;;
